Dado,Label,Predição,Avaliação,Label_Cod,Predicao_Cod,Precisao,Recall,F-Measure
41,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
40,incorreto,P-incorreto,VN,0,0,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
40,incorreto,P-incorreto,VN,0,0,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
40,correto,P-incorreto,FP,1,0,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
44,incorreto,P-incorreto,VN,0,0,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
40,incorreto,P-incorreto,VN,0,0,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
40,incorreto,P-incorreto,VN,0,0,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
40,incorreto,P-incorreto,VN,0,0,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
40,incorreto,P-incorreto,VN,0,0,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
43,incorreto,P-correto,FN,0,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
42,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
41,correto,P-correto,VP,1,1,0.8520805037658971,0.9984085648148148,0.9194590633535408
